Timestamp,Name,Value
16.361894,"NT:/SmartDashboard/Arm Angle",1.0116603296105804
16.36199,"NT:/SmartDashboard/Arm Rate",2.433827754370142
16.38501,"NT:/SmartDashboard/Arm Angle",1.0569127628532067
16.385067,"NT:/SmartDashboard/Arm Angle",1.0576797532471496
16.385087,"NT:/SmartDashboard/Arm Rate",1.9477884424933545
16.400436,"NT:/SmartDashboard/Arm Angle",1.081456455459377
16.400521,"NT:/SmartDashboard/Arm Rate",1.4166470001021783
16.420143,"NT:/SmartDashboard/Arm Angle",1.1182719943686323
16.420207,"NT:/SmartDashboard/Arm Angle",1.1190389847625752
16.420299,"NT:/SmartDashboard/Arm Rate",1.973600241731285
16.440155,"NT:/SmartDashboard/Arm Angle",1.1780972450961724
16.440233,"NT:/SmartDashboard/Arm Rate",3.94720048346257
16.460055,"NT:/SmartDashboard/Arm Angle",1.2494273517328547
16.460127,"NT:/SmartDashboard/Arm Rate",3.691669064161341
16.480249,"NT:/SmartDashboard/Arm Angle",1.3153885256119373
16.480322,"NT:/SmartDashboard/Arm Rate",2.999424720898746
16.500179,"NT:/SmartDashboard/Arm Angle",1.3644759108242779
16.500323,"NT:/SmartDashboard/Arm Rate",2.0828687842569553
16.520186,"NT:/SmartDashboard/Arm Angle",1.4035924209153616
16.520244,"NT:/SmartDashboard/Arm Angle",1.4043594113093045
16.520265,"NT:/SmartDashboard/Arm Rate",1.9102528413008826
16.540269,"NT:/SmartDashboard/Arm Angle",1.4404079598246171
16.540342,"NT:/SmartDashboard/Arm Rate",1.979840975588076
16.561305,"NT:/SmartDashboard/Arm Angle",1.4902623354309004
16.561378,"NT:/SmartDashboard/Arm Rate",3.0761132759525567
16.580092,"NT:/SmartDashboard/Arm Angle",1.5462526341887264
16.580168,"NT:/SmartDashboard/Arm Rate",3.1992925343044814
16.600086,"NT:/SmartDashboard/Arm Angle",1.6053108945223236
16.600161,"NT:/SmartDashboard/Arm Rate",2.5691592980540823
16.619928,"NT:/SmartDashboard/Arm Angle",1.6490293469770643
16.620067,"NT:/SmartDashboard/Arm Rate",2.1235241915703633
16.640702,"NT:/SmartDashboard/Arm Angle",1.6858448858863198
16.640778,"NT:/SmartDashboard/Arm Rate",1.6993251222838608
16.660185,"NT:/SmartDashboard/Arm Angle",1.7249613959774035
16.660258,"NT:/SmartDashboard/Arm Rate",2.2896089971799563
16.680293,"NT:/SmartDashboard/Arm Angle",1.787087617886772
16.680405,"NT:/SmartDashboard/Arm Angle",1.7878546082807147
16.680427,"NT:/SmartDashboard/Arm Rate",3.8700240627830746
16.700521,"NT:/SmartDashboard/Arm Angle",1.8699225804325965
